,timestamp,adjusted_close
699,2015-09-22,33.35
700,2015-09-21,34.25
701,2015-09-18,32.92
702,2015-09-17,33.32
703,2015-09-16,33.77
704,2015-09-15,33.8
705,2015-09-14,33.77
706,2015-09-11,33.55
707,2015-09-10,33.46
708,2015-09-09,34.37
709,2015-09-08,34.7
710,2015-09-04,34.29
711,2015-09-03,35.31
712,2015-09-02,35.07
713,2015-09-01,33.77
714,2015-08-31,35.0
715,2015-08-28,35.04
716,2015-08-27,34.62
717,2015-08-26,33.17
718,2015-08-25,32.7
719,2015-08-24,33.75
720,2015-08-21,34.25
721,2015-08-20,35.98
722,2015-08-19,37.19
723,2015-08-18,37.99
724,2015-08-17,38.73
725,2015-08-14,38.14
726,2015-08-13,37.62
727,2015-08-12,38.19
728,2015-08-11,38.85
729,2015-08-10,39.05
730,2015-08-07,39.13
731,2015-08-06,38.85
732,2015-08-05,39.27
733,2015-08-04,38.95
734,2015-08-03,39.39
735,2015-07-31,38.7
736,2015-07-30,38.45
737,2015-07-29,37.95
738,2015-07-28,37.6
739,2015-07-27,36.39
740,2015-07-24,37.0
741,2015-07-23,37.01
742,2015-07-22,38.39
743,2015-07-21,39.35
744,2015-07-20,40.47
